Filename,UnifiedQualityScore,BackgroundUniformity,IlluminationUniformity,LuminanceMean,LuminanceVariance,UnderExposurePrevention,OverExposurePrevention,DynamicRange,Sharpness,CompressionArtifacts,NaturalColour,SingleFacePresent,EyesOpen,MouthClosed,EyesVisible,MouthOcclusionPrevention,FaceOcclusionPrevention,InterEyeDistance,HeadSize,LeftwardCropOfTheFaceImage,RightwardCropOfTheFaceImage,MarginAboveOfTheFaceImage,MarginBelowOfTheFaceImage,HeadPoseYaw,HeadPosePitch,HeadPoseRoll,ExpressionNeutrality,NoHeadCoverings,UnifiedQualityScore.scalar,BackgroundUniformity.scalar,IlluminationUniformity.scalar,LuminanceMean.scalar,LuminanceVariance.scalar,UnderExposurePrevention.scalar,OverExposurePrevention.scalar,DynamicRange.scalar,Sharpness.scalar,CompressionArtifacts.scalar,NaturalColour.scalar,SingleFacePresent.scalar,EyesOpen.scalar,MouthClosed.scalar,EyesVisible.scalar,MouthOcclusionPrevention.scalar,FaceOcclusionPrevention.scalar,InterEyeDistance.scalar,HeadSize.scalar,LeftwardCropOfTheFaceImage.scalar,RightwardCropOfTheFaceImage.scalar,MarginAboveOfTheFaceImage.scalar,MarginBelowOfTheFaceImage.scalar,HeadPoseYaw.scalar,HeadPosePitch.scalar,HeadPoseRoll.scalar,ExpressionNeutrality.scalar,NoHeadCoverings.scalar,assessment_time_in_ms
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02951.png,18.217569,134.784953,0.0128,0.361281,0.025506,0.054975,0,7.26583,24,0.986268,0,0,0.068405,0.04101,0.0375,0,0.077298,284.040612,0.439085,3.203614,3.251588,1.070948,1.208991,48.664182,4.109066,-6.77808,676.57605,0,14,42,27,96,95,100,100,91,95,100,100,100,99,93,96,100,92,100,89,100,100,4,0,44,99,99,76,100,293
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02952.png,23.386015,75.06393,0.433425,0.147478,0.005977,0.288068,0,6.223197,-19,0.996405,0,0,0.056122,0.00235,0.112761,0,0.116342,244.003911,0.415529,2.577847,2.61883,1.157644,1.251761,0.223818,10.355285,0.06937,-15328.04981,0,54,65,78,26,74,100,100,78,45,100,100,100,97,96,89,100,88,100,67,100,100,8,0,100,97,100,11,100,278
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02953.png,19.974556,118.759191,0.2816,0.133818,0.00542,0.324563,0,6.172051,36,0.980925,0,0,0.045165,0.004438,0.044367,0,0.03512,278.630168,0.440104,3.309832,3.271662,1.060587,1.211465,-48.837632,7.1757,5.750666,-3490.973633,0.336237,24,48,68,21,70,100,100,77,98,100,100,100,93,96,96,100,96,100,90,100,100,3,0,43,98,99,57,7,280
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02954.png,21.983507,388.254766,0.748047,0.222278,0.015776,0.103327,0,6.711828,47,0.976506,0.958705,0,0.052086,0.129889,0,0,0.083686,250.175138,0.48118,2.543491,2.55149,0.999536,1.080799,1.81233,3.171001,-0.017716,-14886.66309,0,40,4,92,61,100,100,100,84,100,100,95,100,96,76,100,100,92,100,70,100,100,2,0,100,100,100,12,100,274
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02955.png,16.786652,1.113612,0.585141,0.154215,0.020525,0.146286,0,6.108866,-19,0.991214,0,0,0.079898,0.00242,1,0,0.372055,272.236658,0.403586,2.382353,2.382353,1.18082,1.296966,-2.389221,2.669138,1.052673,-4731.725586,0,8,99,85,29,99,100,100,76,45,100,100,100,100,96,0,100,63,100,57,100,100,10,1,100,100,100,51,100,265
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02956.png,17.647894,77.362344,0.410156,0.099434,0.014667,0.703259,0.002191,5.750527,36,0.994134,0,0,0.058757,0.002981,0.999338,0,0.196938,247.084859,0.463345,2.722111,2.713442,1.003235,1.154985,20.980784,-6.127755,1.413487,-1800.18103,0,11,64,77,12,99,98,82,72,98,100,100,100,98,96,0,100,80,100,87,100,100,2,0,87,99,100,65,100,291
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02957.png,24.056032,122.041484,0.236159,0.510864,0.040299,0.036023,0,7.572762,9,0.995074,0,0,0.080084,0.140325,0,0,0.000188,261.905645,0.431531,2.509391,2.537054,1.123781,1.196283,14.942436,6.994334,0.830671,-14042.20215,0,60,47,65,99,80,100,100,95,86,100,100,100,100,73,100,100,100,100,82,100,100,6,0,93,99,100,14,100,305
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02958.png,15.783983,212.132546,0.550204,0.197353,0.002769,0.051967,0,5.627993,14,0.977642,0,0,0.072351,0.062564,0.082344,0,0.06399,263.396105,0.39795,2.555489,2.539492,1.206385,1.309578,-18.317296,10.832618,1.505277,2176.15625,0,6,22,84,49,43,100,100,70,90,100,100,100,99,91,92,100,94,100,52,100,100,13,1,90,96,100,81,100,266
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02959.png,21.543392,75.120787,0.430204,0.379502,0.020033,0.04777,0,7.001898,-25,0.993668,0,0,0.092004,0.111371,0,0,0.019021,260.232932,0.438515,2.496075,2.503887,1.110269,1.172694,-10.345872,11.837875,-0.277634,-14077.94434,0,36,65,78,97,99,100,100,88,34,100,100,100,100,81,100,100,98,100,89,100,100,5,0,97,96,100,14,100,288
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/0295_01.jpg,13.951508,47.502577,0.432398,0.181031,0.020808,0.130716,0,6.671361,46,0.868416,0,0,0.064819,0.030505,0.01603,0,0.376456,23.940297,0.291572,4.603474,3.800543,1.634689,1.830852,38.708397,18.466937,-22.973223,-6670.94043,0,3,77,78,41,98,100,100,83,100,100,100,100,99,94,98,100,62,9,8,100,100,91,58,61,90,85,42,100,284
